Mischa Lowery, Crazy12!Hard, Client, 
Veronica Perez, Crazy12!Hard, Client
Winston Callahan, Crazy12!Hard, Teller
Kelan Gough, Crazy12!Hard, Teller 
Nelson Wilkins, Crazy12!Hard, Financial Advisor 
Kelsie Chang, Crazy12!Hard, Financial Advisor 
Howard Linkler, Crazy12!Hard, Compliance Officer 
Stefania Smart, Crazy12!Hard, Compliance Officer 
Willow Garza, Crazy12!Hard, Premium Client
Nala Preston, Crazy12!Hard, Premium Client
Stacy Kent, Crazy12!Hard, Investment Analyst
Keikilana Kapahu, Crazy12!Hard, Investment Analyst
Kodi Matthews, Crazy12!Hard, Financial Plannerr
Malikah Wu, Crazy12!Hard, Financial Planner
Caroline Lopez, Crazy12!Hard, Technical Support
Pawel Barclay, Crazy12!Hard, Technical Support
